# Result: 'mechDisplacement' on node(s) 'top_right' number #1002
# t (s)  x (m)  y (m)  
# ---------------------------------------------------------------------------
0.0368652  2.11945e-08  4.34005e-07
0.0370634  -4.94013e-10  8.89996e-07
0.0372616  -2.32624e-08  1.36717e-06
0.0374598  -4.56303e-08  1.83388e-06
0.037658  -6.61193e-08  2.25875e-06
0.0378562  -8.33247e-08  2.61246e-06
0.0380544  -9.6013e-08  2.86975e-06
0.0382526  -1.03244e-07  3.01165e-06
0.0384508  -1.0447e-07  3.02709e-06
0.038649  -9.95842e-08  2.91395e-06
0.0388472  -8.89299e-08  2.67921e-06
0.0390454  -7.32731e-08  2.33839e-06
0.0392436  -5.37226e-08  1.9141e-06
0.0394418  -3.16246e-08  1.43419e-06
0.03964  -8.45228e-09  9.29578e-07
0.0398382  1.42939e-08  4.32183e-07
0.0400364  3.51658e-08  -2.69502e-08
0.0402346  5.2829e-08  -4.19292e-07
0.0404328  6.61195e-08  -7.20378e-07
0.040631  7.41225e-08  -9.11446e-07
0.0408292  7.62647e-08  -9.81026e-07
0.0410274  7.23793e-08  -9.26071e-07
0.0412256  6.27334e-08  -7.52423e-07
0.0414238  4.80254e-08  -4.74608e-07
0.041622  2.93419e-08  -1.14845e-07
0.0418202  8.05975e-09  2.98761e-07
0.0420184  -1.42833e-08  7.34575e-07
0.0422166  -3.61165e-08  1.1599e-06
0.0424148  -5.59527e-08  1.5433e-06
0.042613  -7.24724e-08  1.85652e-06
0.0428112  -8.45733e-08  2.07593e-06
0.0430094  -9.14116e-08  2.18374e-06
0.0432076  -9.24563e-08  2.16911e-06
0.0434058  -8.75418e-08  2.02911e-06
0.043604  -7.68961e-08  1.7691e-06
0.0438022  -6.11468e-08  1.40278e-06
0.0440004  -4.13053e-08  9.51509e-07
0.0441986  -1.87112e-08  4.43034e-07
0.0443968  5.07886e-09  -9.06635e-08
0.044595  2.84331e-08  -6.15956e-07
0.0447932  4.97833e-08  -1.10023e-06
0.0449914  6.77482e-08  -1.5143e-06
0.0451896  8.12174e-08  -1.83422e-06
0.0453878  8.93878e-08  -2.04251e-06
0.045586  9.17873e-08  -2.12889e-06
0.0457842  8.83e-08  -2.09088e-06
0.0459824  7.91746e-08  -1.93391e-06
0.0461806  6.50147e-08  -1.67113e-06
0.0463788  4.67632e-08  -1.32285e-06
0.046577  2.56754e-08  -9.15559e-07
0.0467752  3.25079e-09  -4.80368e-07
0.0469734  -1.88831e-08  -5.06872e-08
0.0471716  -3.9112e-08  3.40411e-07
0.0473698  -5.59787e-08  6.62883e-07
0.047568  -6.83031e-08  8.92025e-07
0.0477662  -7.52584e-08  1.0101e-06
0.0479644  -7.63978e-08  1.00722e-06
0.0481626  -7.16568e-08  8.81643e-07
0.0483608  -6.13467e-08  6.39715e-07
0.048559  -4.61187e-08  2.9523e-07
0.0487572  -2.69162e-08  -1.31443e-07
0.0489554  -4.94235e-09  -6.14373e-07
0.0491536  1.83808e-08  -1.12335e-06
0.0493518  4.14889e-08  -1.62564e-06
0.04955  6.27869e-08  -2.08832e-06
